query,sql
deadlineにthis weekを含むコミットメントを一覧表示してください。,"SELECT person, action, deadline FROM v_commitments WHERE deadline ILIKE '%this week%' OR deadline ILIKE '%今週%';"
アクションアイテムを重要度スコアの降順で一覧表示してください。,"SELECT meeting_title, action_item_text, importance_score FROM v_action_items ORDER BY importance_score DESC;"
未解決質問を重要度スコアの降順で一覧表示してください。,"SELECT meeting_title, question_text, importance_score FROM v_open_questions ORDER BY importance_score DESC;"
発言を重要度スコアの降順で一覧表示してください。,"SELECT meeting_title, content, importance_score FROM v_statements ORDER BY importance_score DESC;"
会議タイトルごとにトピック数をカウントしてください。,"SELECT meeting_title, COUNT(*) AS topic_count FROM v_topics GROUP BY meeting_title ORDER BY topic_count DESC;"
タイトルにcompany profileを含む会議のトピックを一覧表示してください。,"SELECT meeting_title, topic FROM v_topics WHERE meeting_title ILIKE '%company profile%';"
タイトルにcompany profileを含む会議のエンティティを一覧表示してください。,"SELECT DISTINCT t.meeting_title, s.entity 
FROM v_topics t 
JOIN v_statements s ON t.meeting_id = s.meeting_id 
WHERE t.meeting_title ILIKE '%company profile%';"
タイトルにsummaryを含む会議のトピックを一覧表示してください。,"SELECT meeting_title, topic, source_type FROM v_topics WHERE meeting_title ILIKE '%summary%';"
タイトルにsummaryを含む会議のコミットメント数をカウントしてください。,SELECT COUNT(*) AS commitment_count FROM v_commitments WHERE meeting_title ILIKE '%summary%';
タイトルにsummaryを含む会議の金額数をカウントしてください。,SELECT COUNT(*) AS amount_count FROM v_amounts WHERE meeting_title ILIKE '%summary%';
