query,sql
アクションに「メール」を含むコミットメントを一覧表示してください。,
アクションに「郵送」を含むコミットメントを一覧表示してください。,
アクションに「LINE」を含むコミットメントを一覧表示してください。,
アクションに「土地」を含むコミットメントを一覧表示してください。,
アクションに「資金計画」を含むコミットメントを一覧表示してください。,
アクションに「パンフレット」を含むコミットメントを一覧表示してください。,
アクションに「写真」を含むコミットメントを一覧表示してください。,
会議タイトルに「AJ Technologies」を含むすべてのコミットメントを一覧表示してください。,
トピックに「ホムすん」を含む会議タイトルを一覧表示してください。,
トピックに「ラクかりex」を含む会議タイトルを一覧表示してください。,
トピックに「DX-ASAP」を含む会議タイトルを一覧表示してください。,
トピックに「Energy Japan」を含む会議タイトルを一覧表示してください。,
トピックに「GoEMON」を含む会議タイトルを一覧表示してください。,
トピックに「AIチャットボット」を含む会議タイトルを一覧表示してください。,
トピックに「音声認識」を含む会議タイトルを一覧表示してください。,
トピックに「施工進捗管理」を含む会議タイトルを一覧表示してください。,
トピックに「書類管理」を含む会議タイトルを一覧表示してください。,
トピックに「住宅ローン」を含む会議タイトルを一覧表示してください。,
トピックに「会社概要」を含む会議タイトルを一覧表示してください。,
エンティティに「山下善央」を含む会議タイトルを一覧表示してください。,
エンティティに「Quang Hữu Hiếu」を含む会議タイトルを一覧表示してください。,
エンティティに「名古屋」を含む会議タイトルを一覧表示してください。,
エンティティに「Đà Nẵng」を含む会議タイトルを一覧表示してください。,
エンティティに「ASSET JAPAN」を含む会議タイトルを一覧表示してください。,
エンティティに「ONE Financial Service」を含む会議タイトルを一覧表示してください。,
エンティティに「来訪者」を含む会議タイトルを一覧表示してください。,
エンティティに「案内担当」を含む会議タイトルを一覧表示してください。,
会議タイトルに「AJ Technologies」を含むすべてのトピックを一覧表示してください。,
会議タイトルに「VJ Technologies」を含むすべてのトピックを一覧表示してください。,
会議タイトルに「summary」を含むすべてのトピックを一覧表示してください。,
会議タイトルに「AJ Technologies」を含むすべてのエンティティを一覧表示してください。,
会議タイトルに「VJ Technologies」を含むすべてのエンティティを一覧表示してください。,
会議タイトルに「summary」を含むすべてのエンティティを一覧表示してください。,
重要度スコアが5のアクションアイテムを表示してください。,
重要度スコアが3以下のアクションアイテムを表示してください。,
重要度スコアが2以下のアクションアイテムを表示してください。,
重要度スコアが1のアクションアイテムを表示してください。,
アクションアイテムテキストに「土地」を含むアクションアイテムを一覧表示してください。,
アクションアイテムテキストに「メール」を含むアクションアイテムを一覧表示してください。,
アクションアイテムテキストに「郵送」を含むアクションアイテムを一覧表示してください。,
アクションアイテムテキストに「パンフレット」を含むアクションアイテムを一覧表示してください。,
アクションアイテムテキストに「LINE」を含むアクションアイテムを一覧表示してください。,
アクションアイテムテキストに「資金計画」を含むアクションアイテムを一覧表示してください。,
重要度スコアが5の未解決の質問をすべて表示してください。,
重要度スコアが3以下の未解決の質問をすべて表示してください。,
重要度スコアが2以下の未解決の質問をすべて表示してください。,
重要度スコアが1の未解決の質問をすべて表示してください。,
質問テキストに「吹き抜け」を含む未解決質問を一覧表示してください。,
質問テキストに「予算」を含む未解決質問を一覧表示してください。,
質問テキストに「ローン」を含む未解決質問を一覧表示してください。,
質問テキストに「実現」を含む未解決質問を一覧表示してください。,
質問テキストに「家賃」を含む未解決質問を一覧表示してください。,
質問テキストに「電気」を含む未解決質問を一覧表示してください。,
会議タイトルに「AJ」を含む重要度4以上のアクションアイテムを一覧表示してください。,
会議タイトルに「VJ」を含む重要度4以上のアクションアイテムを一覧表示してください。,
会議タイトルに「summary」を含む重要度4以上のアクションアイテムを一覧表示してください。,
会議タイトルに「AJ」を含む重要度4以上の未解決質問を一覧表示してください。,
会議タイトルに「VJ」を含む重要度4以上の未解決質問を一覧表示してください。,
感情がpositiveの発言を一覧表示してください。,
感情がnegativeの発言を一覧表示してください。,
感情がneutralで重要度スコアが3以上の発言を一覧表示してください。,
重要度スコアが5のpositiveな発言を一覧表示してください。,
重要度スコアが5のnegativeな発言を一覧表示してください。,
重要度スコアが5のneutralな発言を一覧表示してください。,
重要度スコアが4以上のpositiveな発言を一覧表示してください。,
重要度スコアが4以上のnegativeな発言を一覧表示してください。,
重要度スコアが4以上のneutralな発言を一覧表示してください。,
重要度スコアが3以下の発言を一覧表示してください。,
重要度スコアが2以下の発言を一覧表示してください。,
重要度スコアが1の発言を一覧表示してください。,
発言内容に「懸念」を含む発言をすべて表示してください。,
発言内容に「希望」を含む発言をすべて表示してください。,
発言内容に「予算」を含む発言をすべて表示してください。,
発言内容に「土地」を含む発言をすべて表示してください。,
発言内容に「ローン」を含む発言をすべて表示してください。,
発言内容に「モデルハウス」を含む発言をすべて表示してください。,
感情がnegativeの発言数をカウントしてください。,
感情がpositiveの発言数をカウントしてください。,
感情がneutralの発言数をカウントしてください。,
会議タイトルごとに発言の平均重要度スコアを算出してください。,
会議タイトルごとに発言の最大重要度スコアを算出してください。,
会議タイトルごとに発言の最小重要度スコアを算出してください。,
会議日付が2026-05-29の発言を一覧表示してください。,
話者が山下善央の発話をすべて一覧表示してください。,
話者がQuang Hữu Hiếuの発話をすべて一覧表示してください。,
話者が来訪者の発話をすべて一覧表示してください。,
話者が案内担当の発話をすべて一覧表示してください。,
話者名に「Yoshio」を含む発話をすべて一覧表示してください。,
話者名に「Hiếu」を含む発話をすべて一覧表示してください。,
発話内容に「ホムすん」を含む発話をすべて一覧表示してください。,
発話内容に「ラクかりex」を含む発話をすべて一覧表示してください。,
発話内容に「DX-ASAP」を含む発話をすべて一覧表示してください。,
発話内容に「Energy Japan」を含む発話をすべて一覧表示してください。,
発話内容に「GoEMON」を含む発話をすべて一覧表示してください。,
発話内容に「AI OCR」を含む発話をすべて一覧表示してください。,
発話内容に「チャットボット」を含む発話をすべて一覧表示してください。,
発話内容に「議事録」を含む発話をすべて一覧表示してください。,
発話内容に「施工」を含む発話をすべて一覧表示してください。,
発話内容に「ローン」を含む発話をすべて一覧表示してください。,
発話内容に「契約」を含む発話をすべて一覧表示してください。,
発話内容に「予算」を含む発話をすべて一覧表示してください。,
発話内容に「土地」を含む発話をすべて一覧表示してください。,
発話内容に「吹き抜け」を含む発話をすべて一覧表示してください。,
話者が「山下善央」の発話数をカウントしてください。,
話者が「Quang Hữu Hiếu」の発話数をカウントしてください。,
話者が「来訪者」の発話数をカウントしてください。,
話者が「案内担当」の発話数をカウントしてください。,
感情がnegativeの発話をすべて一覧表示してください。,
言及された日付の確信度（confidence）が1.0のデータを一覧表示してください。,
言言された日付の確信度（confidence）が0.8以上のデータを一覧表示してください。,
言及された日付の確信度（confidence）が0.5未満のデータを一覧表示してください。,
言及された日付の確信度（confidence）が0.9のデータを一覧表示してください。,
解決された日付（date_resolved）が2026-05-30のレコードを表示してください。,
解決された日付（date_resolved）が2026-05-29のレコードを表示してください。,
解決された日付（date_resolved）が2026-06-01 of レコードを表示してください。,
解決された日付（date_resolved）が2026-05-26 of レコードを表示してください。,
言及されたテキスト（date_raw_text）に「金曜」を含むレコードを表示してください。,
言及されたテキスト（date_raw_text）に「土曜」を含むレコードを表示してください。,
言及されたテキスト（date_raw_text）に「日曜」を含むレコードを表示してください。,
言及されたテキスト（date_raw_text）に「明日」を含むレコードを表示してください。,
言及されたテキスト（date_raw_text）に「次回」を含むレコードを表示してください。,
言及されたテキスト（date_raw_text）に「今週」を含むレコードを表示してください。,
言及されたテキスト（date_raw_text）に「来週」を含むレコードを表示してください。,
解決された日付が2026-05-29より後のレコードを表示してください。,
解決された日付が2026-05-29より前のレコードを表示してください。,
言及された日付を確信度の昇順で一覧表示してください。,
言及された日付を確信度の降順で一覧表示してください。,
解決された日付を昇順で一覧表示してください。,
解決された日付を降順で一覧表示してください。,
解決された日付がない（NULLである）レコードを一覧表示してください。,
解決された日付がある（NULLでない）レコードを一覧表示してください。,
会議タイトルに「AJ」を含む言及された日付を一覧表示してください。,
会議タイトルに「VJ」を含む言及された日付を一覧表示してください。,
AI-OCRに関連する会議のトピックを表示してください。,
会社概要に関連する会議のエンティティを表示してください。,
ラクかりexに関する会議のコミットメントはいくつありますか？,
ホムすんに関する会議のアクションアイテムを表示してください。,
DX-ASAPに関する会議の未解決質問を表示してください。,
Energy Japanに関連する会議の感情をカウントしてください。,
GoEMON Jobsに関する会議のコミットメントの担当者を一覧表示してください。,
GoEMON Homeに関連する会議の金額を一覧表示してください。,
GoEMON Communityに関連する会議の発言数をカウントしてください。,
愛知県名古屋市に関連する会議のトピックを表示してください。,
ベトナムに関連する会議のエンティティを表示してください。,
住宅ローン借入プロセスに関連する会議の発言を表示してください。,
工務店向け営業DXに関連する会議のアクションアイテムを表示してください。,
代表取締役に関する会議のコミットメントを一覧表示してください。,
CEO Quang Hữu Hiếuに関する会議の発話を一覧表示してください。,
資金計画書に関する会議のコミットメント数をカウントしてください。,
ハザードマップに関する会議のアクションアイテムを表示してください。,
ハザードマップに関する会議の未解決質問を表示してください。,
モデルハウスに関する会議の金額を一覧表示してください。,
吹き抜けのあるリビングに関する会議のトピックを表示してください。,
家賃、電気、ガスの明細に関する会議の発言を表示してください。,
異なる話者（v_speaker_turns）を一覧表示してください。,
異なる担当者（v_commitments）を一覧表示してください。,
異なるトピックを一覧表示してください。,
異なるエンティティを一覧表示してください。,
